"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"USA300HOU_RS13935",340.783313149128,-3.23752740499485,0.287684822348114,-11.253730310031,2.22000147422805e-29,1.05376560043242e-28
"USA300HOU_RS04010",1537.95090654095,-1.86078242787311,0.165497275723708,-11.2435834350508,2.49062803562076e-29,1.18026951704541e-28
"USA300HOU_RS05715",3754.8245618983,1.82491209748072,0.162338317211975,11.2414131723309,2.55262994170408e-29,1.20765512258508e-28
"USA300HOU_RS12610",659.338781381023,2.01827151528872,0.179588030341927,11.2383409487037,2.64302676033868e-29,1.2483620629145e-28
"USA300HOU_RS11695",141.972060108245,-3.86430913075315,0.344849463463108,-11.2057855388444,3.81950298833459e-29,1.8010715571637e-28
"USA300HOU_RS08410",3484.61834683877,1.80506532712705,0.161100837570124,11.204568234112,3.87237259787991e-29,1.82300365157992e-28
"USA300HOU_RS04145",4187.3569941838,1.71201256350214,0.152866842856556,11.1993715020897,4.10636342723951e-29,1.92999081080257e-28
"USA300HOU_RS03600",2373.61668446638,1.61328870767438,0.144094805350917,11.1960226723337,4.26452789030651e-29,2.00104770237459e-28
"USA300HOU_RS04875",2810.33599931488,-2.10939688136543,0.188418904216347,-11.1952507639221,4.30183370838802e-29,2.01525445129877e-28
"USA300HOU_RS09750",149.485173879365,-3.35581504224334,0.300086831695797,-11.1828133986405,4.94955629494707e-29,2.31490667171505e-28
"USA300HOU_RS06010",1270.90601938448,-1.82431776342534,0.163204786677516,-11.1780898131995,5.22014790387432e-29,2.4374860000664e-28
"USA300HOU_RS03190",2197.73908821103,1.7288186534436,0.154825199011024,11.1662614644565,5.96385172987566e-29,2.78022161130951e-28
"USA300HOU_RS11845",1741.06293113783,1.63010223325379,0.146529926372077,11.1247051958147,9.51197966248729e-29,4.42708533966738e-28
"USA300HOU_RS01460",243.733966801624,-2.90781972353726,0.261669237376474,-11.1125776674836,1.08967810231852e-28,5.06338268937956e-28
"USA300HOU_RS05435",2394.74791052233,1.62735457541349,0.14672776146531,11.090979369969,1.38760185080377e-28,6.43730502630162e-28
"USA300HOU_RS01020",505.299572834761,2.33766918447698,0.210936840085967,11.0823182120499,1.52862583770232e-28,7.08008122244352e-28
"USA300HOU_RS03510",2515.72001162478,1.78516324310072,0.161202338080128,11.0740530463856,1.67643013181935e-28,7.73965408683747e-28
"USA300HOU_RS09920",1266.66724183233,-1.808250641705,0.163286069458388,-11.0741268235734,1.67505003779485e-28,7.73965408683747e-28
"USA300HOU_RS05710",1764.49294999315,1.956175813702,0.176922848426403,11.0566601832422,2.03535853940685e-28,9.38162850880938e-28
"USA300HOU_RS08950",3513.75531617775,1.94643560544153,0.176090114503657,11.0536335950937,2.10517969880417e-28,9.68788153526736e-28
"USA300HOU_RS11075",1479.16263668638,1.84191249854232,0.166754327945539,11.0456653283618,2.30057056098491e-28,1.05700894204227e-27
"USA300HOU_RS01730",677.612909909479,2.1063622949775,0.190811413751212,11.0389743127414,2.47846120352159e-28,1.13691972327942e-27
"USA300HOU_RS12655",1144.59983590685,-1.69082105291019,0.153182568522199,-11.0379468709925,2.50696001606601e-28,1.14815564953055e-27
"USA300HOU_RS02470",1828.51708581651,-2.27345943596534,0.206287940826879,-11.0208062907239,3.03329749349204e-28,1.38699583952818e-27
"USA300HOU_RS00545",664.629234149767,2.18974312025977,0.198739696162132,11.0181466639326,3.12425401776626e-28,1.42631150779234e-27
"USA300HOU_RS02770",4255.77867255686,1.81489816464502,0.164800999565826,11.0126647861751,3.32035073268405e-28,1.51342536575599e-27
"USA300HOU_RS08140",6616.9102579916,-1.61158705467092,0.146380412048955,-11.0095813511712,3.43596594076497e-28,1.56363719875765e-27
"USA300HOU_RS10205",4548.25089640096,1.70581919735981,0.154975751343297,11.0070071128814,3.53554054614212e-28,1.60640170297773e-27
"USA300HOU_RS06315",9303.97324196915,1.65238908709887,0.150171162042488,11.0033715170383,3.68106359533491e-28,1.66987489364323e-27
"USA300HOU_RS04800",9183.60449827176,1.77282081042925,0.161250777665786,10.9941845620345,4.07580800130095e-28,1.84311380752836e-27
"USA300HOU_RS12570",462.588009697064,-2.19230108889083,0.19940317407307,-10.9943139023829,4.06996920154093e-28,1.84311380752836e-27
"USA300HOU_RS09880",781.941266661464,-1.88443107110875,0.17154487072579,-10.9850621772363,4.50927985714079e-28,2.03592210242876e-27
"USA300HOU_RS15925",406.561946082295,2.28122012397954,0.207794939369691,10.9782275299832,4.86372976453461e-28,2.19250208096238e-27
"USA300HOU_RS08135",771.513634206537,-1.82142096466694,0.165957444862734,-10.9752290183394,5.02782882274666e-28,2.26291761928017e-27
"USA300HOU_RS04795",4690.83834839576,1.64755676131764,0.150267885456288,10.9641308674494,5.68440786225839e-28,2.55441964593962e-27
"USA300HOU_RS11905",1101.00772092115,2.17781722768656,0.198704100948219,10.9601020678184,5.94323012751067e-28,2.66654785220236e-27
"USA300HOU_RS08620",4224.57972291997,-1.68417583601382,0.153723523518391,-10.9558758312766,6.22730301456464e-28,2.78963714730575e-27
"USA300HOU_RS03240",510.147155725751,-2.35268015068619,0.214803845142184,-10.9526910429787,6.45023451441782e-28,2.88499568686987e-27
"USA300HOU_RS11370",23011.4299059443,-1.43497361834731,0.131234844595388,-10.934394922107,7.89307598739789e-28,3.52483627038469e-27
"USA300HOU_RS13610",1272.97841006797,1.65849825157025,0.151821048166778,10.9240337331116,8.84770720721934e-28,3.94500413111942e-27
"USA300HOU_RS02065",12841.6587945172,-1.73376003375484,0.158828296626916,-10.9159392285582,9.67242978177881e-28,4.30603356899998e-27
"USA300HOU_RS05885",163.105355308379,-3.93275680604028,0.360325596927734,-10.9144530379534,9.83193314616551e-28,4.37025617520256e-27
"USA300HOU_RS00590",1702.57301033686,1.5766586984654,0.144483125312632,10.9124072105572,1.00557740639758e-27,4.46283347390379e-27
"USA300HOU_RS13350",1675.40353730258,2.03546672346702,0.18669867324712,10.9024166485255,1.12236070617756e-27,4.97342835334014e-27
"USA300HOU_RS12745",1337.2217418242,-1.96721577578835,0.18128700023146,-10.8513890862372,1.96417302589726e-27,8.69025318711027e-27
"USA300HOU_RS04765",10954.3485623157,2.73334069962266,0.252289373136702,10.8341491583223,2.37159776616854e-27,1.0476688436988e-26
"USA300HOU_RS12585",3160.1014251509,1.84036629629535,0.17002748866583,10.8239338870221,2.65146778424408e-27,1.16950125191196e-26
"USA300HOU_RS02070",17560.7900640573,-1.60510264080062,0.148351625567484,-10.8195824256099,2.78041262377677e-27,1.22449201111644e-26
"USA300HOU_RS09770",124.067858910675,-6.1832677400213,0.572378069968065,-10.8027684225678,3.3397908374429e-27,1.46858594032957e-26
"USA300HOU_RS10995",1357.34854696265,1.73281810194325,0.16049206399024,10.7969083259383,3.5598911152369e-27,1.56297210220279e-26
"USA300HOU_RS02690",132.123565348685,-3.41161637405712,0.315992008269635,-10.7965273955473,3.57468642101795e-27,1.56706819098753e-26
"USA300HOU_RS11500",1305.28374140115,-1.79388391205579,0.166207417140685,-10.7930436734805,3.71285416608438e-27,1.62515311361281e-26
"USA300HOU_RS09600",459.274615454791,-2.3660836164545,0.219480183144311,-10.7803974944689,4.26040720760741e-27,1.86197979637354e-26
"USA300HOU_RS05045",2495.59053068959,-1.71604275181477,0.159224184442714,-10.7775257748748,4.39549836476091e-27,1.91809647058897e-26
"USA300HOU_RS04035",2723.6426449812,-1.69423176656592,0.157460197425092,-10.7597462360093,5.33167810111634e-27,2.32308831548641e-26
"USA300HOU_RS11640",617.409037534187,2.1265228647796,0.197767350661604,10.7526487949887,5.75838129897151e-27,2.50520169713981e-26
"USA300HOU_RS04610",183.720060691107,-3.24866739658628,0.302143344298761,-10.7520733383224,5.79442680276595e-27,2.51706388538333e-26
"USA300HOU_RS01230",213.971099106959,2.99881108391698,0.27899839421702,10.7484886869433,6.02405415739492e-27,2.61285374723922e-26
"USA300HOU_RS04205",75388.4118074865,1.64616271992285,0.153260772971862,10.7409266441914,6.53847865106976e-27,2.8316946061355e-26
"USA300HOU_RS06330",1512.27310873216,-1.81331256173999,0.169139311208333,-10.720822668519,8.12771657397398e-27,3.51465511577427e-26
"USA300HOU_RS02260",317.094890930895,2.33102287720691,0.217709767514352,10.7070201939986,9.43499261132706e-27,4.07381382781245e-26
"USA300HOU_RS07580",4183.10613656946,1.68747123399148,0.157686705801381,10.7014172527454,1.00233279950862e-26,4.32133554314467e-26
"USA300HOU_RS14725",12141.7350570633,-1.91955293885069,0.179420252543876,-10.6986413832032,1.03281393080507e-26,4.44606237179898e-26
"USA300HOU_RS08725",3900.40986433039,-1.50968945527293,0.141117799201975,-10.6980796455887,1.03909313525595e-26,4.46638683475082e-26
"USA300HOU_RS03070",4954.58397312487,1.43960909110613,0.134705937708259,10.6870499964447,1.17034410034938e-26,5.02301876602046e-26
"USA300HOU_RS02625",4549.52980859914,1.85664782721885,0.173744183272127,10.6861006351555,1.18238144026924e-26,5.067096545967e-26
"USA300HOU_RS10210",3778.69015205762,1.75013503096082,0.163886705003288,10.6789323205058,1.27732234661462e-26,5.46579577275243e-26
"USA300HOU_RS12615",481.08612816861,2.36878459017671,0.221841182381191,10.6778397263787,1.29244233278694e-26,5.52225360372603e-26
"USA300HOU_RS11460",13513.3172807332,1.67506899134746,0.156980600952931,10.6705477057622,1.39799881799184e-26,5.96437888568839e-26
"USA300HOU_RS07155",777.482240307719,1.71359750826583,0.160693539930345,10.6637610261658,1.50390018749516e-26,6.40665949115696e-26
"USA300HOU_RS00335",3266.29458554521,2.51034034804154,0.235442734794741,10.6622119821623,1.5291654317816e-26,6.50462506367633e-26
"USA300HOU_RS09320",1190.29834599198,-1.6614821388982,0.155979956853216,-10.6518951050982,1.70850952188765e-26,7.25673599889168e-26
"USA300HOU_RS10140",4614.28985729122,1.76805182031512,0.166031961885487,10.6488642321443,1.76505364295345e-26,7.48581182595791e-26
"USA300HOU_RS12705",1041.92857995266,1.68502832916531,0.158504763541644,10.630774063283,2.14326131809225e-26,9.07641092905534e-26
"USA300HOU_RS06115",3676.97883947847,-1.52991990402487,0.144021598885892,-10.6228504325731,2.33325562361716e-26,9.86643639072331e-26
"USA300HOU_RS06530",1936.55013211496,-1.77932236140437,0.167796628682044,-10.6040411859286,2.85376031082644e-26,1.20496771887178e-25
"USA300HOU_RS09890",6004.38020454746,2.10243145813785,0.198296266133556,10.6024762802231,2.90192904418462e-26,1.22350449554078e-25
"USA300HOU_RS04595",735.400463037933,-1.77907591231738,0.167907181363111,-10.5955915516799,3.12359835414744e-26,1.31503032031435e-25
"USA300HOU_RS04070",26293.0053237942,1.58744942353532,0.149904194721399,10.589759856191,3.32443605739855e-26,1.39753052442253e-25
"USA300HOU_RS05660",251.556188768603,2.33019203005522,0.220110399210651,10.5864695098988,3.44334734467717e-26,1.44539924409802e-25
"USA300HOU_RS10165",945.779572669087,1.86881064385181,0.176628360360557,10.5804675989572,3.67121437708521e-26,1.53879702033674e-25
"USA300HOU_RS01165",455.328867010887,-2.15796493447481,0.204236281936517,-10.5660214434651,4.28280475561229e-26,1.79252572764094e-25
"USA300HOU_RS06125",2005.62196411942,-1.68740367027676,0.159762020431679,-10.5619825395133,4.47117333182385e-26,1.86863760092405e-25
"USA300HOU_RS05565",1918.13502756158,-1.74514722463403,0.165390325240608,-10.5516886921602,4.98922030255449e-26,2.08210984096415e-25
"USA300HOU_RS08315",4664.46448901369,-1.42901925212913,0.135711956068471,-10.5297962945,6.2970602458157e-26,2.6240801925514e-25
"USA300HOU_RS06120",3802.95965662597,-1.51768891514357,0.144515076856688,-10.5019417223065,8.4621296211238e-26,3.52117933581451e-25
"USA300HOU_RS16010",350.400703247322,-2.48942851845761,0.237061529400975,-10.5011915039445,8.52966030006622e-26,3.54413566381012e-25
"USA300HOU_RS05200",12688.3958632187,1.55728681404134,0.148579996849033,10.4811337129294,1.05471712773087e-25,4.37608394385588e-25
"USA300HOU_RS12010",21600.481290569,-1.8106109166246,0.172917244239664,-10.4709679163929,1.1743601697241e-25,4.86544885346674e-25
"USA300HOU_RS03980",713.276831568643,2.18506420184455,0.208996442140924,10.4550306189958,1.38953889763901e-25,5.74864072082399e-25
"USA300HOU_RS12300",1731.2073936638,1.83009491554106,0.175337435620201,10.4375594924591,1.67050110182027e-25,6.90104705896069e-25
"USA300HOU_RS04495",5252.83950716179,-1.60726712954945,0.154157623238642,-10.4261281134396,1.88410055278353e-25,7.77225364723794e-25
"USA300HOU_RS01995",296.428533716571,-2.17772981112002,0.209137181469451,-10.4129251232074,2.16466206391142e-25,8.90662847314371e-25
"USA300HOU_RS07005",468.477364144273,-2.21968018417169,0.213166439979949,-10.4128970037708,2.16530172507191e-25,8.90662847314371e-25
"USA300HOU_RS11775",1306.25454284345,1.56200545368666,0.15017676823476,10.4011124493297,2.45055368322806e-25,1.00655263750929e-24
"USA300HOU_RS08310",3948.00664198668,-1.49045135132011,0.14353110904538,-10.3841694057341,2.9270596127539e-25,1.20055506577474e-24
